domain,symptom,missed_avoid_freq,svc_ts,case_data
Refrigeration,not freezing,21,2016-08-24T15:56:00.878000,"K83461703,K16931553,K71532941,K37280721,K75751213,K61679903,K27070130,K48106913,K98570133,K25198522,K23863325,K32451504,K50811256,K80844111,K10033905,K41991000,K49204705,K51425358,K58635004"
Washer,no power,21,2016-08-24T18:49:40.507000,"K50302412,K55563242,K71136555,K90545622,K77132594"
Cooking,not heating,20,2016-08-24T18:42:37.492000,"K19002411,K30488914,K21625634,K49149553,K10535142,K03979508,K62630052,K56735555,K03331653,K37523574,K01204731,K05940389,K10335122,K36064752,K33319334,K05831321,K23521460,K34153622,K26543057"
Refrigeration,cooling,19,2016-08-24T18:09:15.162000,"K05703652,K50628139,K71532941,K32011107,K37280721,K09514812,K75751213,K61679903,K57222942,K17329434,K24523404,K31043455,K98570133,K25198522,K31542024,K39461964,K93552554,K23863325,K54553070"
Dryer,not heating enough,19,2016-08-24T14:22:35.824000,"K44343207,K06523316,K11850393,K91230329,K23586020,K60275334,K01251166,K81269759,K06943359"
Dryer,too long to dry,17,2016-08-24T18:56:26.084000,"K44343207,K06523316,K11850393,K91230329,K23586020,K60275334,K01251166,K81269759,K06943359"
Refrigeration,too cold,16,2016-08-24T18:15:46.152000,"K50628139,K06090534,K24523404,K01043980,K78354144,K51685204,K74617691,K04596273,K31542024,K40451143,K66596633,K76515094,K59217205,K82152561,K17133119,K94463220,K84027595"
Refrigeration,not dispensing water,15,2016-08-24T18:06:17.893000,"K93385070,K45644551,K31043455,K31657555,K14724720,K92532921,K37233616,K11655792,K64349952,K52618820"
Dish,not starting,15,2016-08-24T18:44:07.685000,"K55084900,K25716515,K21426127,K41603346,K26124467,K54134573,K15308547,K29869023,K00241531,K91432102,K25573033,K20032102,K68433152,K60320661,K12410856"
Washer,odor,14,2016-08-24T18:03:33.356000,"K50302412,K60207654,K55563242,K32875240,K71136555,K49764475,K34534223,K42390189,K90545622,K15311533,K45299534,K44924536,K82524415,K73460136,K35157423,K34720633,K79922053,K00197419,K77132594"
